★ StatTrak™ M9 Bayonet | Boreal Forest (Battle-Scarred)
★ StatTrak™ M9 Bayonet | Safari Mesh (Battle-Scarred)
★ StatTrak™ Flip Knife | Fade (Minimal Wear)
★ StatTrak™ Bayonet | Marble Fade (Factory New)
★ Karambit | Safari Mesh (Minimal Wear)
★ Bayonet | Case Hardened (Factory New)
★ M9 Bayonet | Stained (Well-Worn)
★ StatTrak™ M9 Bayonet | Freehand (Field-Tested)
★ M9 Bayonet | Rust Coat (Battle-Scarred)
★ Moto Gloves | Spearmint (Battle-Scarred)
★ StatTrak™ Talon Knife | Case Hardened (Minimal Wear)
★ StatTrak™ Karambit | Safari Mesh (Well-Worn)
★ M9 Bayonet | Rust Coat (Well-Worn)
★ Talon Knife | Blue Steel (Factory New)
★ StatTrak™ Karambit | Forest DDPAT (Well-Worn)
★ Driver Gloves | Crimson Weave (Minimal Wear)
★ StatTrak™ Flip Knife | Doppler (Minimal Wear)
★ StatTrak™ Karambit | Boreal Forest (Well-Worn)
★ Stiletto Knife | Case Hardened (Factory New)
★ Sport Gloves | Arid (Field-Tested)
★ Karambit | Safari Mesh (Field-Tested)
★ Stiletto Knife | Slaughter (Factory New)
★ Sport Gloves | Slingshot (Well-Worn)
★ Karambit | Boreal Forest (Battle-Scarred)
★ StatTrak™ Karambit | Safari Mesh (Field-Tested)
★ Karambit | Forest DDPAT (Well-Worn)
★ StatTrak™ M9 Bayonet | Stained (Battle-Scarred)
★ M9 Bayonet | Stained (Battle-Scarred)
★ StatTrak™ Karambit | Boreal Forest (Field-Tested)
★ Hand Wraps | Slaughter (Minimal Wear)
★ StatTrak™ Skeleton Knife | Crimson Web (Field-Tested)
★ StatTrak™ Bayonet | Marble Fade (Minimal Wear)
★ StatTrak™ M9 Bayonet | Bright Water (Field-Tested)
★ Bayonet | Marble Fade (Factory New)
★ M9 Bayonet | Night (Field-Tested)
★ StatTrak™ M9 Bayonet | Scorched (Battle-Scarred)
★ StatTrak™ Karambit | Forest DDPAT (Field-Tested)
★ Karambit | Boreal Forest (Well-Worn)
★ StatTrak™ Flip Knife | Fade (Factory New)
★ Specialist Gloves | Field Agent (Minimal Wear)
★ StatTrak™ Karambit | Safari Mesh (Battle-Scarred)
★ Skeleton Knife | Crimson Web (Well-Worn)
★ StatTrak™ Stiletto Knife | Slaughter (Factory New)
★ Karambit | Safari Mesh (Well-Worn)
★ StatTrak™ M9 Bayonet | Freehand (Well-Worn)
★ M9 Bayonet | Freehand (Well-Worn)
★ Driver Gloves | Overtake (Factory New)
★ StatTrak™ Skeleton Knife | Crimson Web (Well-Worn)
★ Karambit | Safari Mesh (Battle-Scarred)
★ StatTrak™ M9 Bayonet | Ultraviolet (Field-Tested)
★ Sport Gloves | Amphibious (Well-Worn)
★ StatTrak™ M9 Bayonet | Rust Coat (Battle-Scarred)
★ Karambit | Forest DDPAT (Battle-Scarred)
★ M9 Bayonet | Night (Battle-Scarred)
★ M9 Bayonet | Ultraviolet (Well-Worn)
★ M9 Bayonet | Scorched (Minimal Wear)
★ M9 Bayonet | Ultraviolet (Battle-Scarred)
★ StatTrak™ M9 Bayonet | Night (Field-Tested)
★ Driver Gloves | Convoy (Factory New)
★ Nomad Knife | Case Hardened (Factory New)
★ StatTrak™ M9 Bayonet | Ultraviolet (Well-Worn)
★ StatTrak™ M9 Bayonet | Scorched (Minimal Wear)
★ StatTrak™ Bayonet | Slaughter (Minimal Wear)
★ StatTrak™ Bayonet | Lore (Minimal Wear)
★ Flip Knife | Safari Mesh (Factory New)
★ Classic Knife | Fade (Minimal Wear)
★ Talon Knife | Urban Masked (Factory New)
★ StatTrak™ M9 Bayonet | Forest DDPAT (Minimal Wear)
★ StatTrak™ Classic Knife | Fade (Factory New)
★ M9 Bayonet | Urban Masked (Minimal Wear)
★ Bayonet | Slaughter (Factory New)
★ Skeleton Knife | Case Hardened (Minimal Wear)
★ Driver Gloves | Black Tie (Minimal Wear)
★ M9 Bayonet | Freehand (Battle-Scarred)
★ StatTrak™ Skeleton Knife | Case Hardened (Minimal Wear)
★ StatTrak™ M9 Bayonet | Night (Battle-Scarred)
★ Stiletto Knife | Ultraviolet (Factory New)
★ Classic Knife | Fade (Factory New)
★ Bayonet | Lore (Minimal Wear)
★ M9 Bayonet | Urban Masked (Battle-Scarred)
★ Sport Gloves | Scarlet Shamagh (Minimal Wear)
★ Talon Knife | Case Hardened (Field-Tested)
★ M9 Bayonet | Night (Well-Worn)
★ StatTrak™ M9 Bayonet | Urban Masked (Minimal Wear)
★ Sport Gloves | Vice (Battle-Scarred)
★ StatTrak™ M9 Bayonet | Bright Water (Well-Worn)
★ Stiletto Knife | Marble Fade (Minimal Wear)
★ M9 Bayonet | Bright Water (Well-Worn)
★ StatTrak™ M9 Bayonet | Ultraviolet (Battle-Scarred)
★ Hydra Gloves | Case Hardened (Factory New)
★ StatTrak™ M9 Bayonet | Bright Water (Battle-Scarred)
★ Flip Knife | Doppler (Minimal Wear)
★ Stiletto Knife | Marble Fade (Factory New)
★ StatTrak™ Skeleton Knife | Stained (Factory New)
★ M9 Bayonet | Bright Water (Battle-Scarred)
★ StatTrak™ Stiletto Knife | Marble Fade (Factory New)
★ M9 Bayonet | Scorched (Battle-Scarred)
★ Stiletto Knife | Slaughter (Minimal Wear)
★ StatTrak™ M9 Bayonet | Boreal Forest (Minimal Wear)
★ Stiletto Knife | Tiger Tooth (Minimal Wear)
★ StatTrak™ M9 Bayonet | Scorched (Well-Worn)
★ StatTrak™ Stiletto Knife | Blue Steel (Factory New)
★ Stiletto Knife | Slaughter (Field-Tested)
★ M9 Bayonet | Forest DDPAT (Minimal Wear)
